rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species	label
DIRS	815	0.000192820152006	3.37233812442292	1	12300	-15.9978638439272	8.71157018937443	-1.83639269341363	0.066323718765934	10.8190570608935	13.5760039018046	16.3329507427156	12.6287969971887	16.7174443179971	20.8060916388054	-0.057865180726016	-0.022518655439846	0.012827869846325	0.174248749523139	186335	0.120588579574425	FALSE	inopinata	
Maverick	1099	0.000164854799023	3.02821324346347	1	12300	-23.5714730847073	13.545451858825	-1.7401762104636	0.081853091479146	21.9271943386718	27.176394082263	32.4255938258543	28.5538390539983	34.1420907169566	39.7303423799149	-0.067463255748086	-0.032115572248369	0.003232111251349	0.352705615464847	377170	0.13642181913191	FALSE	inopinata	
Merlin	524	2.03323509837539E-05	1.25011333484171	1	12300	-4.0937890821482	3.66143028600543	-1.11808467248313	0.263552668698268	6.98727412675594	8.35766542025687	9.7280567137578	7.91187670687152	9.46659079824419	11.0213048896169	-0.054260525907235	-0.018914330512782	0.016431864881672	0.102525613285042	109637	0.405465644151182	FALSE	inopinata	
Penelope	14	-2.23844006639329E-05	0.724655650849893	1	12300	0.278249232133122	0.326864784124476	0.851267085496613	0.394637576555904	0.030962225658696	0.184685417005365	0.338408608352034	-0.003941401742441	0.099008291334742	0.201957984411926	-0.018976302448958	0.016369694606429	0.051715691661817	0.001631814033423	1745	0.563767966508434	FALSE	inopinata	
RTE	48193	-3.11392824670076E-05	0.616967613725112	1	12300	42.5284832103894	54.1437971680551	0.785472859954515	0.432191506363805	664.766005586686	685.073809136726	705.381612686765	621.404590052374	644.346610307267	667.28863056216	0.011637705898536	0.046987988040966	0.082338270183395	7.6468629123317	8177265	0.576255341818407	FALSE	inopinata	RTE
L1	9	-4.57124773880491E-05	0.43771651901759	1	12300	-0.500595197207719	0.756641591580508	-0.661601480513452	0.50823905183471	-0.00594870998731	0.030889286294911	0.067727282577133	-0.011262775748862	0.415379613071045	0.842022001890953	-0.06708597207746	-0.031738341786068	0.003609288505324	0.002566951015327	2745	0.635298814793387	FALSE	inopinata	
tRNA	27	-5.57367520630514E-05	0.314420424848983	1	12300	0.267404842094093	0.476885252218485	0.560732043715166	0.574990432928431	0.001151699195735	0.252804422045196	0.504457144894657	-0.001844713282933	0.095756787514225	0.193358288311384	-0.014779053469317	0.02056728608969	0.055913625648698	0.002004933689203	2144	0.649008381941226	FALSE	inopinata	
PIF-Harbinger	376	-5.693707863208E-05	0.299656871236464	1	12300	4.19730267467595	7.66757738378552	0.547409235614877	0.584107543747103	6.75524470439091	10.0295886847667	13.3039326651425	6.47325812182116	9.32189887823118	12.1705396346412	-0.029581486721139	0.005763991770564	0.041109470262267	0.111310290093051	119031	0.649008381941226	FALSE	inopinata	
I	3	-6.52102837319646E-05	0.197900604941957	1	12300	0.200587421636222	0.450899895938191	0.444860208314881	0.656428608211378	-0.106480012963205	0.110876280279629	0.328232573522463	-0.046465899753593	0.087302877580881	0.221071654915355	-0.032080442889779	0.003264985757307	0.038610414404394	0.001139931980941	1219	0.690977482327766	FALSE	inopinata	
CACTA	128	-7.56168823525805E-05	0.0699070609075	1	12300	1.34508301618882	5.08731427234429	0.264399434393305	0.791476577241311	3.50313526947825	5.69517151682653	7.88720776417481	3.21728881235496	5.08453909933344	6.95178938631192	-0.027849432673707	0.007496096555879	0.042841625785466	0.062005192722147	66306	0.791476577241311	FALSE	inopinata	
hAT	10581	0.009691373546252	116.330548671044	1	11784	261.369493485993	24.2330460733137	10.7856640347753	5.37744040641387E-27	180.346894135359	192.057176789956	203.767459444553	112.223431735467	119.374066530889	126.524701326312	0.155100899967559	0.191294392496743	0.227487885025928	1.7162915029573	1835337	1.18303688941105E-25	TRUE	nigoni	
Jockey	11283	0.005221898286028	62.863114190798	1	11784	246.796602527965	31.127284196295	7.92862624865104	2.41526878670877E-15	196.199878023227	210.337970817781	224.476063612334	136.070539906958	146.599626612356	157.128713317754	0.094425543976255	0.130575001318356	0.166724458660458	1.96705783602476	2103497	2.65679566537965E-14	TRUE	nigoni	
Gypsy	5075	0.004952836950974	59.659715473562	1	11784	206.700887203972	26.7609638771609	7.72397018854693	1.21879862321121E-14	112.876099043549	124.629284017645	136.382468991741	58.2844854278596	67.8457230142566	77.4069606006536	0.099194698442729	0.135347016641723	0.171499334840717	1.06073710021784	1134312	8.93785657021554E-14	TRUE	nigoni	
Helitron	21202	0.004835605361715	58.2645177971078	1	11784	232.62701024156	30.4760067317869	7.63311979449482	2.46796358043509E-14	311.528377828682	323.421445537835	335.314513246989	262.054131673778	274.577902240326	287.101672806874	0.066000747601029	0.102135280857082	0.138269814113135	3.2954778973127	3524059	1.3573799692393E-13	TRUE	nigoni	
PiggyBac	7054	0.004299170491974	51.8844853257215	1	11784	128.455353053577	17.8333712457857	7.20308859627046	6.24488037383513E-13	94.9829386341982	102.980149304377	110.977359974556	56.0011528393997	62.1525797691785	68.3040066989574	0.109975942196137	0.146135105451666	0.182294268707196	0.910045386405848	973168	2.74774736448746E-12	TRUE	nigoni	
Tc1-Mariner	61607	0.003108892632181	37.7525594314818	1	11784	334.750268896148	54.4813342070825	6.14431114377208	8.29024458287852E-10	908.583400212486	931.714794706481	954.846189200476	854.383499186132	874.826883910387	895.270268634642	0.030429315537895	0.06655030742618	0.102671299314464	9.9554748553121	10646007	3.03975634705546E-09	TRUE	nigoni	
CACTA	633	0.001053042520108	13.4231882449329	1	11784	15.7375415294496	4.29545376530444	3.66376694740984	0.000249622866091	8.38592486890391	10.4548693586698	12.5238138484358	4.46026495661799	5.73693143245078	7.01359790828357	0.033957985286993	0.070080065315678	0.106202145344363	0.089233576224255	95423	0.000784529007714	TRUE	nigoni	
tRNA	247	0.000990595760223	12.685746885549	1	11784	3.3291525448745	0.934707386024643	3.5617056146668	0.000369906810743	1.53833421309212	1.9920257889379	2.44571736478368	0.726552891248313	0.998642226748133	1.27073156224795	0.031687918811038	0.067809292367761	0.103930665924485	0.016481789306063	17625	0.001017243729544	TRUE	nigoni	
RTE	145	0.00045921901954	6.4143825327227	1	11784	4.1088366209782	1.62233838817949	2.5326631305254	0.011332835150825	1.45948731963855	2.31184255174754	3.16419778385653	0.699545029080164	1.04090291921249	1.38226080934482	0.013867589273548	0.049984225040688	0.086100860807828	0.018477371625447	19759	0.027702485924238	TRUE	nigoni	
Merlin	1065	0.000427729601128	6.04295036844973	1	11784	-14.2462932146505	5.79531924755685	-2.45824131615465	0.013976215777879	11.565673380254	13.5924669155073	15.6192604507606	15.9392350889596	18.5183299389002	21.0974247888408	-0.090353346080202	-0.054235710457731	-0.018118074835261	0.17695036026386	189224	0.030747674711333	TRUE	nigoni	
ERV	1	0.000142499873434	2.67960035125382	1	11784	-0.174113106581169	0.106364438400878	-1.63694848766044	0.101667935826755	0	0	0	-0.029502101759307	0.03071961982349	0.090941341406285	-0.054537314755907	-0.018425551107839	0.01768621254023	0.000169259793725	181	0.20333587165351	FALSE	nigoni	
DIRS	72	9.37987822470232E-05	2.10552234543191	1	11784	8.37733883609825	5.77332696849593	1.45104181381238	0.146794835826099	1.98974647233768	4.63861554122837	7.28748461011905	0.28783485609506	2.20145960624576	4.11508435639645	-0.009179320783709	0.026933313793019	0.063045948369747	0.037696306877544	40311	0.251064124294884	FALSE	nigoni	
Sola	28	9.24264823656262E-05	2.08934677916961	1	11784	3.62117054963117	2.50520757201798	1.44545729067642	0.148356073446977	0.168190347846224	1.58585001696641	3.00350968608659	0	0	0	0.004277799389024	0.040392478936507	0.076507158483989	0.00874072536986	9347	0.251064124294884	FALSE	nigoni	
PIF-Harbinger	10	4.13572467121703E-05	1.48741531065946	1	11784	-0.777147196563183	0.637216717258722	-1.2195963720262	0.222642331622358	-0.064637032894198	0.18476416694944	0.434165366793078	-0.006364255931328	0.254243041412084	0.514850338755496	-0.043067319672063	-0.006956213037631	0.029154893596802	0.002419199372186	2587	0.349866521120848	FALSE	nigoni	
R2	418	1.0356232950981E-05	1.12204946930078	1	11784	-7.75802347605115	7.32394521696272	-1.0592683650996	0.289499289319398	2.87274801284397	3.931455717679	4.99016342251403	4.35629452825507	8.36456211812627	12.3728297079975	-0.074738201281321	-0.038623837113566	-0.00250947294581	0.067756285160858	72456	0.42459895766845	FALSE	nigoni	
Mutator	4716	-1.58055492887055E-05	0.813734545662649	1	11784	9.20071271355841	10.1995284465578	0.902072361655455	0.367036866726954	56.473321611049	60.765184933831	65.0570482566131	57.8485559910649	61.7102851323829	65.5720142737009	-0.04202283507489	-0.005911758773634	0.030199317527623	0.674932311278486	721747	0.504675691749562	FALSE	nigoni	
